Timestamp,Are you currently or have you ever been a dues-paying member of Chicago DSA or another chapter of DSA?,"How long have you been/were you a dues-paying member of Chicago DSA? 

Please approximate to the best of your ability or look up the exact date you joined DSA by following this link: https://proof.dsausa.org/card. 

If you have never been a dues-paying member of Chicago DSA, scroll to the bottom of the page and click ""Next"".","What territory branch do you belong to?

You can look up your territory branch by scrolling to the map on the bottom of this page: https://chicagodsa.org/chicago-dsa-territorial-branches/.","Have you been to any Chicago DSA events? 

If you have never been to a Chicago DSA event, select ""No"" below, then scroll to the bottom of the page and click ""Next"".","How many Chicago DSA events have you attended in the last 12 months?

Please estimate to the best of your ability.","When was the first event you attended?

Please estimate to the best of your ability.",What was the first Chicago DSA event you attended?,"Which of the following Chicago DSA activities have you participated in?

Please select all that apply.",How long was the period between your first Chicago DSA event and your second Chicago DSA event?,"Did you have one-on-one interactions, beyond the specific objectives of the meeting or activity, with anyone from the following groups before, during, or after your first meeting?

This question asks about deeper, more personal interactions that occurred beyond the stated purpose of the meeting or activity (i.e., interactions that took place outside of a political discussion, outside of addressing agenda items, etc.).","Were you contacted by anyone in the organization (by phone, text, or email) after you attended your first event?","During or after your first couple of events, were you assigned a specific task/action (e.g., tabling, making calls, specific reading) or explicitly invited to another Chicago DSA event?","Have you been involved in any of the following leadership activities within Chicago DSA? 

Select all that apply.","Have you trained others in leadership activities (e.g., canvassing training, meeting facilitation training, political education)?","If yes, please describe the leadership activities you've participated in:","How long (in years) have you lived in Cook County?

If you have lived here less than one year, input .25, .5, etc. If you moved away and later moved back, please sum the total number of years and input that number below.","On a scale of 1 (Not at all similar) to 5 (Extremely similar), how similar do you feel to the average Chicago DSA member?","On a scale of 1 (Not at all welcome) to 5 (Extremely welcome), how welcomed do you feel at Chicago DSA events?","What do you get out of, or hope to get out of, your involvement in Chicago DSA? Select all that apply.","To what extent do the following factors limit your ability to participate in Chicago DSA activities? (1 = Not at all a limit, 5 = A significant limit) [Childcare/domestic responsibilities]","To what extent do the following factors limit your ability to participate in Chicago DSA activities? (1 = Not at all a limit, 5 = A significant limit) [Limited free time]","To what extent do the following factors limit your ability to participate in Chicago DSA activities? (1 = Not at all a limit, 5 = A significant limit) [Schedule conflicts with Chicago DSA event times]","To what extent do the following factors limit your ability to participate in Chicago DSA activities? (1 = Not at all a limit, 5 = A significant limit) [Feeling overwhelmed by the work/organization]","To what extent do the following factors limit your ability to participate in Chicago DSA activities? (1 = Not at all a limit, 5 = A significant limit) [Feeling overwhelmed by the state of the country]","To what extent do the following factors limit your ability to participate in Chicago DSA activities? (1 = Not at all a limit, 5 = A significant limit) [General mental health (e.g., depression, anxiety, etc.)]","To what extent do the following factors limit your ability to participate in Chicago DSA activities? (1 = Not at all a limit, 5 = A significant limit) [Social anxiety (e.g., fear of not fitting in with Chicago DSA members, anxiety about working with others)]","To what extent do the following factors limit your ability to participate in Chicago DSA activities? (1 = Not at all a limit, 5 = A significant limit) [Safety concerns (personal or political)]","To what extent do the following factors limit your ability to participate in Chicago DSA activities? (1 = Not at all a limit, 5 = A significant limit) [Not interested in Chicago DSA]","If you indicated above that you feel overwhelmed by the work/organization, which of the following best describes why you feel overwhelmed regarding Chicago DSA activities/organization? 

Select all that apply.","Are there any other factors that impact your ability to participate in Chicago DSA activities? If so, please describe.",Is there anything else you think we should know about your experience with Chicago DSA that we haven't covered in this survey?,Which of the following best describes your racial identity? Select all that apply.,"What is your gender identity? 

Select all that apply.",What is your sexual orientation?,Which range best describes your total household income before taxes?,"To what extent do the following factors limit your ability to participate in Chicago DSA activities? (1 = Not at all a limit, 5 = A significant limit) [Chicago DSA's limited racial and ethnic diversity]","To what extent do the following factors limit your ability to participate in Chicago DSA activities? (1 = Not at all a limit, 5 = A significant limit) [Row 11]","To what extent do the following factors limit your ability to participate in Chicago DSA activities? (1 = Not at all a limit, 5 = A significant limit) [Physical accessibility of activities]","Do you identify as a person with a disability?

Select all that apply."
1/8/2026 18:39,"Yes, I am a current dues-paying member of Chicago DSA.",6 months to 1 year,North Side Blue Line,Yes,3,3/23/2025,General Chapter Meeting,"Committee meeting, Protest/rally",1-3 months,"Yes, with a pre-existing dues-paying member, Yes, with another new attendee/non-member",Yes,No.,I have not engaged in any leadership activities within Chicago DSA.,No,,6,3,4,"Building community/friendships, Making a political difference in Chicago",1 (Not at all a limit),4,3,2,1 (Not at all a limit),2,1 (Not at all a limit),4,1 (Not at all a limit),It doesn't feel like there's a clear pathway to contribute meaningfully,"I am concerned about Chicago DSA's lack of data privacy --- a lot of personal identifying information is required on the platforms that DSA uses, pictures are taken at events, etc. It requires attendees to assume a lot of risk to join this community. ",,"White (e.g., European American, Anglo-Saxon, etc.)",Woman,Queer,"$150,000 or more",,,,
1/8/2026 18:41,"Yes, I am a current dues-paying member of Chicago DSA.",More than a year,North Side Blue Line,Yes,1,10/9/2024,Dsa 102,"Committee meeting, Outreach/canvassing, Phone/text banking, Protest/rally",1-3 months,"Yes, with a pre-existing dues-paying member",Yes,"Yes, I was given a task/action.","Organized or facilitated meetings, events, or actions",No,,10,4,4,"A sense of purpose/fighting for what's right, Building community/friendships, Making a political difference in Chicago",1 (Not at all a limit),5 (A significant limit),4,4,1 (Not at all a limit),1 (Not at all a limit),2,1 (Not at all a limit),1 (Not at all a limit),"I have too many competing priorities and insufficient time to dedicate to Chicago DSA., My work schedule often limits my ability to participate in a meaningful way",,,"White (e.g., European American, Anglo-Saxon, etc.)",Woman,Straight/Heterosexual,"$150,000 or more",,,,
1/8/2026 18:42,"Yes, I am a current dues-paying member of Chicago DSA.",More than a year,North Side Blue Line,Yes,48,9/1/2024,Branch event,"Branch event, Committee meeting, Executive or steering committee meeting, Outreach/canvassing, Phone/text banking, Protest/rally, Strike support, Social event, Political education event",1-3 months,"Yes, with a pre-existing dues-paying member",No,No.,"Organized or facilitated meetings, events, or actions, Steering committee activities (Chair, Co-Chair, Secretary, Treasurer, etc.), Organized new member engagement (E.g., onboarding, follow-up calls)",Yes,"Meeting facilitation, contingent leadership",2,4,4,"A sense of purpose/fighting for what's right, Building community/friendships, Making a political difference in Chicago, Political education and deepening my understanding of socialism and political theory, Training and experience as an organizer/activist",1 (Not at all a limit),3,1 (Not at all a limit),2,1 (Not at all a limit),3,2,1 (Not at all a limit),1 (Not at all a limit),I have too many competing priorities and insufficient time to dedicate to Chicago DSA.,,,"White (e.g., European American, Anglo-Saxon, etc.)",Transgender Woman/Transfeminine,Bisexual,"$50,000 to $74,999",,,,
1/8/2026 18:43,"Yes, I am a current dues-paying member of Chicago DSA.",Less than 6 months,North Side Blue Line,No,0,,,,,,,,,,,34,4,,"A sense of purpose/fighting for what's right, Building community/friendships, Making a political difference in Chicago, Networking/professional development, Political education and deepening my understanding of socialism and political theory, Training and experience as an organizer/activist",5 (A significant limit),4,3,2,5 (A significant limit),4,4,1 (Not at all a limit),1 (Not at all a limit),"I feel ill-equipped or lack the necessary skills/knowledge., I have too many competing priorities and insufficient time to dedicate to Chicago DSA.",,,"White (e.g., European American, Anglo-Saxon, etc.)",Man,Straight/Heterosexual,"$150,000 or more",,,,
1/8/2026 18:44,"Yes, I am a current dues-paying member of Chicago DSA.",6 months to 1 year,South Side,Yes,5,6/4/2025,Committee meeting,Committee meeting,1-3 months,"No, I didn't interact with anyone.",Yes,"Yes, I was given a task/action., Yes, I was invited to another specific event.",I have not engaged in any leadership activities within Chicago DSA.,No,,8,3,2,"A sense of purpose/fighting for what's right, Building community/friendships, Making a political difference in Chicago, Networking/professional development",1 (Not at all a limit),5 (A significant limit),3,4,5 (A significant limit),5 (A significant limit),5 (A significant limit),3,1 (Not at all a limit),"I feel like our current Chicago DSA efforts/initiatives aren't having enough impact., The organizational processes and structure are difficult to navigate., I don't think the DSA is going to get anywhere without a full time staff. It also doesn't make much sense to me that an organization that fights for fair wages depends on volunteer work to run. Additionally, the excuse of everyone being volunteers is used a lot. Like you have the power to change the model of how you operate. By choosing to rely on volunteer work and expecting people to understand socialism in and out to join, the organization starts to feel like a cult. ",,,"Hispanic (Often defined by Spanish language origin/culture), Latino, Latina, or Latine (Often defined by origin/culture in Latin American countries, including Brazil)","Genderfluid, Non-binary",Bisexual,"$50,000 to $74,999",,,,
1/8/2026 18:44,"Yes, I am a current dues-paying member of Chicago DSA.",Less than 6 months,North Side Blue Line,Yes,10,6/15/2025,Branch event,"Branch event, Committee meeting, Social event, Political education event",1-4 weeks,"Yes, with a pre-existing dues-paying member",No,"Yes, I was invited to another specific event.",I have not engaged in any leadership activities within Chicago DSA.,No,,0.5,4,4,"Building community/friendships, Networking/professional development, Political education and deepening my understanding of socialism and political theory",1 (Not at all a limit),4,3,3,1 (Not at all a limit),1 (Not at all a limit),1 (Not at all a limit),1 (Not at all a limit),1 (Not at all a limit),,,,"Black or African American (e.g., Haitian, Nigerian, Jamaican, African, etc.)",Man,Straight/Heterosexual,"$75,000 to $99,999",,,,
1/8/2026 18:44,"Yes, I am a current dues-paying member of Chicago DSA.",More than a year,North Side Blue Line,Yes,60,9/8/2025,Branch event,"Branch event, Committee meeting, Executive or steering committee meeting, Outreach/canvassing, Phone/text banking, Protest/rally, Strike support, Social event",1-4 weeks,"Yes, with a pre-existing dues-paying member",No,No.,"Organized or facilitated meetings, events, or actions, Steering committee activities (Chair, Co-Chair, Secretary, Treasurer, etc.), Organized new member engagement (E.g., onboarding, follow-up calls)",No,,24,4,5,"A sense of purpose/fighting for what's right, Building community/friendships, Making a political difference in Chicago, Political education and deepening my understanding of socialism and political theory, Training and experience as an organizer/activist",1 (Not at all a limit),2,3,2,2,2,1 (Not at all a limit),1 (Not at all a limit),1 (Not at all a limit),,,,"White (e.g., European American, Anglo-Saxon, etc.)","Transgender Woman/Transfeminine, Woman",Lesbian,"Less than $25,000",,,,
1/8/2026 18:45,"Yes, I’ve been a dues-paying member of another chapter of DSA.",I have never been dues-paying member of Chicago DSA.,North Side Red Line,Yes,2,10/22/2025,Political education event,"Committee meeting, Political education event",1-3 months,"No, I didn't interact with anyone.",Yes,No.,I have not engaged in any leadership activities within Chicago DSA.,No,,0.5,3,3,"A sense of purpose/fighting for what's right, Building community/friendships, Making a political difference in Chicago",1 (Not at all a limit),3,4,2,1 (Not at all a limit),1 (Not at all a limit),2,1 (Not at all a limit),2,"I don't feel like I have much I can personally contribute to DSA., I feel ill-equipped or lack the necessary skills/knowledge., I have too many competing priorities and insufficient time to dedicate to Chicago DSA.",I travel a lot for work,I was an original member of a new chapter in Michigan that started last year but still haven’t quite found my place here since I moved to Chicago,"White (e.g., European American, Anglo-Saxon, etc.)",Man,Straight/Heterosexual,"$100,000 to $149,999",,,,
1/8/2026 18:45,"Yes, I am a current dues-paying member of Chicago DSA.",More than 5 years,North Side Blue Line,Yes,74,9/18/2015,Branch event,"Branch event, Committee meeting, Executive or steering committee meeting, Outreach/canvassing, Phone/text banking, Protest/rally, Strike support, Social event, Political education event",1-4 weeks,"Yes, with a pre-existing dues-paying member, Yes, with a chapter/committee leader, Yes, with another new attendee/non-member",Yes,"Yes, I was given a task/action., Yes, I was invited to another specific event.","Organized or facilitated meetings, events, or actions, Steering committee activities (Chair, Co-Chair, Secretary, Treasurer, etc.)",Yes,"I have been co-chair of the chapter, branch steering committee member, political education coordinator, chapter mentor, member and co-chair of several working groups, and many other leadership activities.",24,2,4,"A sense of purpose/fighting for what's right, Building community/friendships, Making a political difference in Chicago, Political education and deepening my understanding of socialism and political theory, Training and experience as an organizer/activist",2,3,3,3,1 (Not at all a limit),2,1 (Not at all a limit),1 (Not at all a limit),1 (Not at all a limit),I feel like our current Chicago DSA efforts/initiatives aren't having enough impact.,"My work has an often unpredictable schedule, so I can’t always commit to meeting times.",,"White (e.g., European American, Anglo-Saxon, etc.)",Man,Straight/Heterosexual,"$100,000 to $149,999",,,,
1/8/2026 18:47,"No, I have never been a dues-paying member of any chapter of DSA.",I have never been dues-paying member of Chicago DSA.,North Side Red Line,Yes,2,1/15/2025,Political education event,"Committee meeting, Political education event",1-4 weeks,"No, I didn't interact with anyone.",Yes,"Yes, I was invited to another specific event.",I have not engaged in any leadership activities within Chicago DSA.,No,,5.5,2,4,"A sense of purpose/fighting for what's right, Making a political difference in Chicago",3,2,2,5 (A significant limit),2,4,5 (A significant limit),1 (Not at all a limit),1 (Not at all a limit),"I don't feel like I have much I can personally contribute to DSA., I feel ill-equipped or lack the necessary skills/knowledge.",,,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,,,,
1/8/2026 18:48,"Yes, I am a current dues-paying member of Chicago DSA.",Less than 6 months,North Side Red Line,Yes,3,7/18/2025,Social event,"Committee meeting, Strike support, Social event",1-4 weeks,"Yes, with a pre-existing dues-paying member",Yes,"Yes, I was invited to another specific event.",I have not engaged in any leadership activities within Chicago DSA.,No,,5,3,3,"A sense of purpose/fighting for what's right, Building community/friendships",1 (Not at all a limit),5 (A significant limit),4,3,3,1 (Not at all a limit),1 (Not at all a limit),5 (A significant limit),2,"I don't feel like I have much I can personally contribute to DSA., I feel like our current Chicago DSA efforts/initiatives aren't having enough impact., I have too many competing priorities and insufficient time to dedicate to Chicago DSA., The pace of change or the volume of information related to Chicago DSA is too high.",I live in Lincoln Square. It's too far away to get to most meetings in person,"I'm afraid that, some day soon, my membership in this organization will make me a target for persecution/violence. I would want the option to be an anonymous member of the organization","White (e.g., European American, Anglo-Saxon, etc.)",Man,Straight/Heterosexual,"$100,000 to $149,999",,,,
1/8/2026 18:48,"Yes, I am a current dues-paying member of Chicago DSA.",More than a year,North Side Blue Line,Yes,15,5/13/2025,Branch event,"Branch event, Strike support",1-4 weeks,"Yes, with a pre-existing dues-paying member, Yes, with a chapter/committee leader",No,"Yes, I was given a task/action.",,No,,6,3,2,"A sense of purpose/fighting for what's right, Building community/friendships, Making a political difference in Chicago, Political education and deepening my understanding of socialism and political theory, Training and experience as an organizer/activist",1 (Not at all a limit),2,3,3,1 (Not at all a limit),2,2,2,4,"I don't feel like I have much I can personally contribute to DSA., I feel ill-equipped or lack the necessary skills/knowledge., I feel like our current Chicago DSA efforts/initiatives aren't having enough impact.",,,"White (e.g., European American, Anglo-Saxon, etc.)",Man,Queer,"$150,000 or more",,,,
1/8/2026 18:50,"Yes, I am a current dues-paying member of Chicago DSA.",6 months to 1 year,South Side,No,0,,,Protest/rally,I've only attended one event,"No, I didn't interact with anyone.",No,No.,I have not engaged in any leadership activities within Chicago DSA.,No,,40,3,3,Making a political difference in Chicago,1 (Not at all a limit),3,2,1 (Not at all a limit),2,2,2,1 (Not at all a limit),1 (Not at all a limit),"I don't feel like I have much I can personally contribute to DSA., I feel like our current Chicago DSA efforts/initiatives aren't having enough impact., I have too many competing priorities and insufficient time to dedicate to Chicago DSA.",,,"Asian or Asian American (e.g., Chinese, Japanese, Korean, Filipino, Vietnamese, Indian, Pakistani, etc.)",Woman,Straight/Heterosexual,"$150,000 or more",,,,
